,Account Number,Owner Name,Property Address,Zip,Impr Sq Ft,Market Value,Appraised Value,2019 Taxes Due
1,1206380010018,[NAME REMOVED],11631 VERSAILLES LAKES,77082,6838,"$1,622,328","$1,609,944","$16,629.43"
2,1206380010010,[NAME REMOVED],11602 VERSAILLES LAKES LN,77082,6895,"$2,111,663","$2,111,663","$27,132.40"
3,1206380010011,[NAME REMOVED],11603 VERSAILLES LAKES LN,77082,8997,"$2,333,564","$2,333,564","$22,088.13"
4,1206380010009,[NAME REMOVED],11606 VERSAILLES LAKES LN,77082,6628,"$1,493,431","$1,493,431","$15,425.95"
5,1206380010012,[NAME REMOVED],11607 VERSAILLES LAKES LN,77082,7874,"$1,770,398","$1,770,398","$16,271.08"
6,1206380010008,[NAME REMOVED],11610 VERSAILLES LAKES LN,77082,7647,"$1,646,368","$1,646,368","$14,989.94"
7,1206380010013,[NAME REMOVED],11611 VERSAILLES LAKES LN,77082,6971,"$1,549,318","$1,549,318","$16,003.21"
8,1206380010007,[NAME REMOVED],11614 VERSAILLES LAKES LN,77082,8194,"$1,771,891","$1,771,891","$18,302.22"
9,1206380010014,[NAME REMOVED],11615 VERSAILLES LAKES LN,77082,7031,"$1,576,628","$1,576,628","$16,285.31"
10,1206380010006,[NAME REMOVED],11618 VERSAILLES LAKES LN,77082,6402,"$1,442,371","$1,442,371","$18,532.78"
11,1206380010015,[NAME REMOVED],11619 VERSAILLES LAKES LN,77082,7714,"$1,667,120","$1,667,120","$17,220.02"
12,1206380010005,[NAME REMOVED],11622 VERSAILLES LAKES LN,77082,7024,"$1,570,175","$1,570,175","$16,218.64"
13,1206380010016,[NAME REMOVED],11623 VERSAILLES LAKES LN,77082,6151,"$1,522,327","$1,522,327","$15,724.41"
14,1206380010004,[NAME REMOVED],11626 VERSAILLES LAKES LN,77082,5241,"$1,315,000","$1,315,000","$11,567.19"
15,1206380010017,[NAME REMOVED],11627 VERSAILLES LAKES LN,77082,5678,"$1,629,648","$1,629,648","$16,832.96"
16,1206380010003,[NAME REMOVED],11630 VERSAILLES LAKES LN,77082,5725,"$1,415,525","$1,415,525","$12,605.52"
17,1206380010002,[NAME REMOVED],11634 VERSAILLES LAKES LN,77082,7008,"$1,505,296","$1,505,296","$15,548.50"
18,1206380010019,[NAME REMOVED],11635 VERSAILLES LAKES LN,77082,6429,"$1,570,000","$1,570,000","$16,216.84"
19,1206380010001,[NAME REMOVED],11638 VERSAILLES LAKES LN,77082,7373,"$1,699,718","$1,699,718","$21,839.39"
20,1206380010020,[NAME REMOVED],11639 VERSAILLES LAKES LN,77082,5393,"$1,439,834","$1,439,834","$14,872.32"
